Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
NA,NA,22,Sell recommendations,Sell recommendations from security analysts,Individual financial,Journal of Finance,Womack (1996),"Womack, Kent, 1996, Do brokerage analysts' recommendations have investment value? Journal of Finance 51, 137-167.",http://www.jstor.org.proxy.lib.duke.edu/stable/pdfplus/2329305.pdf,1_clear,done!,NA,NA
NA,NA,25,Trading volume,Dollar volume traded per month,Individual microstructure,Journal of Financial Economics,"Brennan, Chordia and Subrahmanyam (1997)","Brennan, Michael J., Tarun Chordia and Avanidhar Subrahmanyam, 1997, ``Alternative factor specifications, security characteristics, and the cross-section of expected stock returns"", Journal of Financial Economics 49, 345-373.",http://www.sciencedirect.com/science/article/pii/S0304405X98000282#,1_clear,done!,NA,NA
1998,NA,29,Bankruptcy risk,The probability of bankruptcy from Altman (1968),Individual accounting,Journal of Finance,Ilia (1998),"Dichev, Ilia, 1998, Is the risk of bankruptcy a systematic risk? Journal of Finance 53, 1131-1147.",http://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00046/pdf,1_clear,done!,NA,NA
1998,NA,30,Illiquidity,Liquidity proxied by the turnover rate: number of shares traded as a fraction of the number of shares outstanding,Individual microstructure,Journal of Financial Markets,"Datar, Naik and Radcliffe (1998)","Datar, Vinay, Narayan Naik and Robert Radcliffe, 1998, Liquidity and stock returns: An alternative test, Journal of Financial Markets 1, 203-219.",http://www.sciencedirect.com/science/article/pii/S1386418197000049,1_clear,done!,NA,NA
1999,NA,31,Industry momentum,Industry-wide momentum returns,Individual other,Journal of Finance,Moskowitz and Grinblatt (1999),"Moskowitz, Tobias J. and Mark Grinblatt, 1999, ``Do industries explain momentum?"", Journal of Finance 54, 1249-1290.",http://www.jstor.org/stable/pdfplus/798005.pdf,1_clear,done!,NA,NA
2000,NA,32,Trading volume,Past trading volume,Individual microstructure,Journal of Finance,Lee and Swaminathan (2000),"Lee, Charles M.C. and Bhaskaran Swaminathan, 2000, ``Price momentum and trading volume"", Journal of Finance 55, 2017-2069.",http://www.jstor.org/stable/pdfplus/222483.pdf,1_clear,done!,NA,NA
2000,NA,36,Within-industry percent change in employees,Difference between firm percent change in employees and average percent change in employees within the industry,Individual accounting,Working Paper,"Asness, Porter and Stevens (2000)","Asness, Clifford, R. Burt Porter and Ross Stevens, 2000, Predicting stock returns using industry-relative firm characteristics, Working Paper, AQR Capital Management.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872,1_clear,done!,WP,we cite Grinblatt and Moskowitz
2000,NA,38,Financial statement information,A composite score based on historical financial statement that separates winners from losers,Individual accounting,Journal of Accounting Research,Piotroski (2000),"Piotroski, Joseph, 2000, Value investing: The use of historical financial statement information to separate winners from losers, Journal of Accounting Research 38, 1-41.",http://www.jstor.org/stable/pdfplus/2672906.pdf?acceptTC=true,1_clear,done!,NA,NA
2001,NA,39,Level of liquidity,Level of dollar trading volume and share turnover,Individual microstructure,Journal of Financial Economics,"Chordia, Subrahmanyam and Anshuman (2001)","Chordia, Tarun, Avanidhar Subrahmanyam and V. Ravi Anshuman, 2001, ``Trading activity and expected stock returns"", Journal of Financial Economics 59, 3-32.",http://www.sciencedirect.com/science/article/pii/S0304405X00000805#,1_clear,done!,NA,NA
NA,NA,40,Variability of liquidity,Volatility of dollar trading volume and share turnover,Individual microstructure,Journal of Financial Economics,"Chordia, Subrahmanyam and Anshuman (2001)","Chordia, Tarun, Avanidhar Subrahmanyam and V. Ravi Anshuman, 2001, ``Trading activity and expected stock returns"", Journal of Financial Economics 59, 3-32.",http://www.sciencedirect.com/science/article/pii/S0304405X00000805#,1_clear,done!,NA,NA
2001,NA,41,Financial constraints,Measure financial constraints with Kaplan and Zingales (1997) index,Individual financial,Review of Financial Studies,"Lamont, Polk and Saa-Requejo (2001)","Lamont, Owen, Christopher Polk and Jesus Saa-Requejo, 2001, ``Financial constraints and stock returns"", Review of Financial Studies 14, 529-554.",http://www.jstor.org/stable/pdfplus/2696750.pdf,1_clear,done!,NA,NA
2001,NA,42,Bond rating changes,Moody's bond ratings changes,Individual financial,Journal of Finance,Dichev and Piotroski (2001),"Dichev, Ilia and Joseph Piotroski, 2001, The long-run stock returns following bond ratings changes, Journal of Finance 56,173-203.",http://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00322/abstract,1_clear,done!,NA,NA
2001,NA,43,Analysts' forecasts,Financial analysts' forecasts of annual earnings,Individual accounting,Accounting Review,"Pieter, Lo and Pfeiffer (2011)","Elgers, Pieter, May Lo and Ray Pfeiffer, 2001, Delayed security price adjustments to financial analysts' forecasts of annual earnings, Accounting Review 76, 613-632.",http://www.jstor.org/stable/pdfplus/3068929.pdf?acceptTC=true,1_clear,done!,NA,NA
2001,NA,44,Institutional ownership,Institutional holdings of firm assets,Individual accounting,Quarterly Journal of Economics,Gompers and Metrick (2001),"Gompers, Paul and Andrew Metrick, 2001, Institutional investors and equity prices, Quarterly Journal of Economics, 116, 229-259.",http://qje.oxfordjournals.org/content/116/1/229.abstract,1_clear,done!,NA,NA
2002,NA,45,Distress risk,Distress risk as proxied by Ohlson's O-score,Individual financial,Journal of Finance,Griffin and Lemmon (2002),"Griffin, John M. and Michael L. Lemmon, 2002, ``Book-to-market equity, distress risk, and stock returns"", Journal of Finance 57, 2317-2336.",http://www.jstor.org/stable/pdfplus/3094513.pdf,1_clear,done!,NA,NA
2002,NA,46,Analyst dispersion,Dispersion in analysts' earnings forecasts,Individual behavioral,Journal of Finance,"Diether, Malloy and Scherbina (2002)","Diether, Karl B., Christopher J. Malloy and Anna Scherbina, 2002, ``Differences of opinion and the cross section of stock returns"", Journal of Finance 57, 2113-2141.",http://www.jstor.org/stable/pdfplus/3094506.pdf,1_clear,done!,NA,NA
2002,NA,47,Breadth of ownership,Ratio of the number of mutual funds holding long positions in the stock to total number of mutual funds,Individual microstructure,Journal of Financial Economics,"Chen, Hong and Stein (2002)","Chen, Joseph, Harrison Hong and Jeremy C. Stein, 2002, ``Breadth of ownership and stock returns"", Journal of Financial Economics 66, 171-205.",http://www.sciencedirect.com/science/article/pii/S0304405X02002234#,1_clear,done!,NA,NA
2003,NA,51,Shareholder rights,Shareholder rights as proxied by an index using 24 governance rules,Individual accounting,Quarterly Journal of Economics,"Gompers, Ishii and Metrick (2003)","Gompers, Paul, Joy Ishii and Andrew Metrick, 2003, ``Corporate governance and equity prices"", Quarterly Journal of Economics 118, 107-155.",http://www.jstor.org/stable/pdfplus/25053900.pdf,1_clear,done!,NA,NA
2003,NA,52,Excluded expenses,Excluded expenses in firm's earnings reports,Individual accounting,Review of Accounting Studies,"Jeffrey, Lundholm and Soliman (2003)","Doyle, Jeffrey, Russell Lundholm and Mark Soliman, 2003, The predictive value of expenses excluded from pro forma earnings, Review of Accounting Studies 8, 145-174.",http://link.springer.com/content/pdf/10.1023%2FA%3A1024472210359.pdf,1_clear,done!,NA,NA
2003,NA,53,Growth in long-term net operating assets,Growth in long-term net operating assets,Individual accounting,Accounting Review,"Fairfield, Whisenant and Yohn (2003)","Fairfield, Patricia, Scott Whisenant and Teri Lombardi Yohn, 2003, Accrued earnings and growth: implications for future profitability and market mispricing, Accounting Review 78, 353-371.",http://www.jstor.org/stable/pdfplus/3203307.pdf?acceptTC=true,1_clear,done!,NA,NA
2003,NA,55,Return consistency,Consecutive returns with the same sign,Individual financial,Journal of Behavioral Finance,Watkins (2003),"Watkins, Boyce, 2003, Riding the wave of sentiment: An analysis of return consistency as a predictor of future returns, Journal of Behavioral Finance 4, 191-200.",http://www.tandfonline.com/doi/pdf/10.1207/s15427579jpfm0404_2,1_clear,done!,NA,NA
2004,NA,56,Unexpected change in R&D,Unexpected change in firm research and expenditures,Individual accounting,Journal of Finance,"Allan, Maxwell and Siddique (2004)","Eberhart, Allan, William Maxwell and Akhtar Siddique, 2004, An examination of long-term abnormal stock returns and operating performance following R&D increases, Journal of Finance 59, 623-650.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00644.x/abstract,1_clear,done!,NA,NA
2004,NA,57,52-week high,Nearness to the 52-week high price,Individual financial,Journal of Finance,George and Hwang (2004),"George, Thomas and Chuan-yang Hwang, 2004, The 52-week high and momentum investing, Journal of Finance 5, 2145-2176.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00695.x/full,1_clear,done!,NA,NA
2004,NA,58,Analysts' recommendations,Consensus analysts' recommendations from sell-side firms,Individual accounting,Journal of Finance,"Jegadeesh, Kim, Krische and Lee (2004)","Jegadeesh, Narasimhan, Joonghyuk Kim, Suan Krische and Charles Lee, 2004, Analyzing the analysts: When do recommendations add value? Journal of Finance 59, 1083-1124.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00657.x/pdf,1_clear,done!,NA,NA
2004,NA,60,Abnormal capital investment,Past year capital expenditures scaled by average capital expenditures for previous three years,Individual accounting,Journal of Financial and Quantitative Analysis,"Titman, Wei and Xie (2004)","Titman, Sheridan, John Wei and Feixue Xie, 2004, Capital investments and stock returns, Journal of Financial and Quantitative Analysis 39, 677-700.",http://www.jstor.org/stable/pdfplus/30031881.pdf?acceptTC=true,1_clear,done!,NA,NA
2005,NA,61,External corporate governance,Proxies for corporate control,Individual accounting,Journal of Finance,Cremers and Nair (2005),"Cremers, K.J. Martijn and Vinay B. Nair, 2005, ``Governance Mechanisms and equity prices"", Journal of Finance 60, 2859-2894.",http://www.jstor.org/stable/pdfplus/3694806.pdf,1_clear,done!,NA,NA
NA,NA,62,Internal corporate governance,Proxies for share-holder activism,Individual accounting,Journal of Finance,Cremers and Nair (2005),"Cremers, K.J. Martijn and Vinay B. Nair, 2005, ``Governance Mechanisms and equity prices"", Journal of Finance 60, 2859-2894.",http://www.jstor.org/stable/pdfplus/3694806.pdf,1_clear,done!,NA,NA
NA,NA,63,Individual stock liquidity,Individual stock illiquidity as defined in Amihud (2002),Individual microstructure,Journal of Financial Economics,Acharya and Pedersen (2005),"Acharya, Viral V. and Lasse Heje Pedersen, 2005, ``Asset pricing with liquidity risk"", Journal of Financial Economics 77, 375-410.",http://www.sciencedirect.com/science/article/pii/S0304405X05000334,1_clear,done!,NA,NA
2005,NA,64,Price delay,Delay in a stock price's response to information,Individual microstructure,Review of Financial Studies,Hou and Moskowitz (2005),"Hou, Kewei and Tobias J. Moskowitz, 2005, ``Market frictions, price delay, and the cross-section of expected returns"", Review of Financial Studies 18, 981-1020.",http://www.jstor.org/stable/pdfplus/3598084.pdf,1_clear,done!,NA,NA
2005,NA,65,Heterogeneous beliefs,Factors constructed from disagreement among analysts about expected short- and long-term earnings,Individual financial,Review of Financial Studies,"Anderson, Ghysels and Juergens (2005)","Anderson, Evan W., Eric Ghysels and Jennifer L. Juergens, 2005, ``Do heterogeneous beliefs matter for asset pricing"", Review of Financial Studies 18, 875-924.",http://www.jstor.org/stable/pdfplus/3598081.pdf,1_clear,done!,NA,NA
2005,NA,66,Short-sale constraints,Short-sale constraint proxied by Institutional ownership,Individual microstructure,Journal of Financial Economics,Nagel (2005),"Nagel, Stefan, 2005, ``Short sales, institutional investors and the cross-section of stock returns"", Journal of Financial Economics 78, 277-309.",http://www.sciencedirect.com/science/article/pii/S0304405X05000735#,1_clear,done!,NA,NA
2005,NA,67,Short-sale constraints,Short-sale constraint proxied by short interest and institutional ownership,Individual microstructure,Journal of Financial Economics,"Asquith, Pathak and Ritter (2005)","Asquith, Paul, Parag A. Pathak and Jay R. Ritter, 2005, ``Short interest, institutional ownership and stock returns"", Journal of Financial Economics 78, 243-276.",http://www.sciencedirect.com/science/article/pii/S0304405X05001170#,1_clear,done!,NA,NA
2005,NA,72,Growth index,"A combined index constructed based on earnings, cash flows, earnings stability, growth stability and intensity of R&D, capital expenditure and advertising",Individual accounting,Review of Accounting Studies,Mohanram (2005),"Mohanram, Partha, 2005, Separating winners from losers among low book-to-market stocks using financial statement analysis, Review of Accounting Studies 10, 133-170.",http://www.jstor.org/stable/pdfplus/2329420.pdf,1_clear,done!,NA,NA
2006,NA,73,Financial constraints,Constraint index estimated from a firm's investment Euler equation,Individual financial,Review of Financial Studies,Whited and Wu (2006),"Whited, Toni M. and Guojun Wu, 2006, ``Financial constraints risk"", Review of Financial Studies 19, 531-559.",http://www.jstor.org/stable/pdfplus/3844005.pdf,1_clear,done!,NA,NA
NA,NA,74,idiosyncratic volatility,Idiosyncratic volatility relative to Fama and French (1992) three-factor model,Individual financial,Journal of Finance,"Ang, Hodrick, Xing and Zhang (2006)","Ang, Andrew, Robert J. Hodrick, Yuhang Xing and Xiaoyan Zhang, 2006, ``The cross-section of volatility and expected returns"", Journal of Finance 61, 259-299.",http://www.jstor.org/stable/pdfplus/3699341.pdf,1_clear,done!,NA,NA
2006,NA,75,Capital investment,Capital expenditure growth,Individual accounting,Journal of Finance,Anderson and Garcia-Feijoo (2006),"Anderson, Christopher W. and Luis Garcia-Feijoo, 2006, ``Empirical evidence on capital investment, growth options, and security returns"", Journal of Finance 61, 171-194.",http://www.jstor.org/stable/pdfplus/3699338.pdf,1_clear,done!,NA,NA
2006,NA,76,Industry concentration,Industry concentration as proxied by the Herfindahl index,Individual accounting,Journal of Finance,Hou and Robinson (2006),"Hou, Kewei and David T. Robinson, 2006, ``Industry concentration and average stock returns"", Journal of Finance 61, 1927-1956.",http://www.jstor.org/stable/pdfplus/3874731.pdf,1_clear,done!,NA,NA
2006,NA,80,Intangible information,Residuals from cross-sectional regression of firm returns on fundamental growth measures,Individual accounting,Journal of Finance,Daniel and Titman (2006),"Daniel, Kent and Sheridan Titman, 2006, ``Market reactions to tangible and intangible information"", Journal of Finance 61, 1605-1643.",http://www.jstor.org/stable/pdfplus/3874722.pdf,1_clear,done!,NA,NA
2006,NA,81,Profitability,Expected earnings growth,Individual accounting,Journal of Financial Economics,Fama and French (2006),"Fama, Eugene F. and Kenneth R. French, 2006, ``Profitability, investment and average returns"", Journal of Financial Economics 82, 491-518.",http://www.sciencedirect.com/science/article/pii/S0304405X06001164#,1_clear,done!,NA,NA
NA,NA,82,Investment,Expected growth in book equity,Individual accounting,Journal of Financial Economics,Fama and French (2006),"Fama, Eugene F. and Kenneth R. French, 2006, ``Profitability, investment and average returns"", Journal of Financial Economics 82, 491-518.",http://www.sciencedirect.com/science/article/pii/S0304405X06001164#,1_clear,done!,NA,NA
2006,NA,83,Net financing,Net amount of cash flow received from external financing,Individual accounting,Journal of Accounting and Economics,"Bradshaw, Richardson and Sloan (2006)","Bradshaw, Mark, Scott Richardson and Richard Sloan, 2006, The relation between corporate financing activities, analysts' forecasts and stock returns, Journal of Accounting and Economics 42, 53-85.",http://www.sciencedirect.com/science/article/pii/S0165410106000371,1_clear,done!,NA,NA
2006,NA,85,Pension plan funding,"Pension plan funding status calculated as the difference between the fair value of plan assets and the projected benefit obligation, divided by market capitalization",Individual accounting,Journal of Finance,Franzoni and Marin (2006),"Franzoni, Francesco and Jose Marin, 2006, Pension plan funding and stock market efficiency, Journal of Finance 61, 921-956.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2006.00859.x/full,1_clear,done!,NA,NA
200t6,NA,87,Unexpected earnings' autocorrelations,Standardized unexpected earnings' autocorrelations via the sign of the most recent earnings realization,Individual accounting,Journal of Accounting Research,Narayanamoorthy (2006),"Narayanamoorthy, Ganapathi, 2006, Conservatism and cross-sectional variation in the post-earnings announcement drift, Journal of Accounting Research 44, 763-789.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-679X.2006.00218.x/pdf,1_clear,done!,NA,NA
2007,NA,88,Credit rating,S&P firm credit rating,Individual financial,Journal of Finance,"Avramov, Chordia, Jostova and Philipov (2007)","Avramov, Doron, Tarun Chordia, Gergana Jostova and Alexander Philipov, 2007, ``Momentum and credit rating"", Journal of Finance 62, 2503-2520.",http://www.jstor.org/stable/pdfplus/4622342.pdf,1_clear,done!,NA,NA
NA,NA,94,Firm age,Firm's public listing age,Individual accounting,Review of Financial Studies,"Kumar, Sorescu, Boehme and Danielsen (2008)","Kumar, Praveen, Sorin M. Sorescu, Rodney D. Boehme and Bartley R. Danielsen, 2008, ``Estimation risk, information, and the conditional CAPM: Theory and evidence"", Review of Financial Studies 21, 1037-1075.",http://www.jstor.org/stable/pdfplus/40056844.pdf,1_clear,done!,NA,NA
NA,NA,95,Interaction between market volatility and firm age,Product of market volatility and firm age,Individual accounting,Review of Financial Studies,"Kumar, Sorescu, Boehme and Danielsen (2008)","Kumar, Praveen, Sorin M. Sorescu, Rodney D. Boehme and Bartley R. Danielsen, 2008, ``Estimation risk, information, and the conditional CAPM: Theory and evidence"", Review of Financial Studies 21, 1037-1075.",http://www.jstor.org/stable/pdfplus/40056844.pdf,1_clear,done!,NA,NA
2008,NA,96,Country-level idiosyncratic volatility,Weighted average of variances and auto-covariances of firm-level idiosyncratic return shocks,Individual financial,Review of Financial Studies,Guo and Savickas (2008),"Guo, Hui and Robert Savickas, 2008, ``Average idiosyncratic volatility in G7 countries"", Review of Financial Studies 21, 1259-1296.",http://www.jstor.org/stable/pdfplus/40056850.pdf,1_clear,done!,NA,NA
2008,NA,97,Distress,Distressed firm failure probability estimated based on a dynamic logit model,Individual financial,Journal of Finance,"Campbell, Hilscher and Szilagyi (2008)","Campbell, John Y., Jens Hilscher and Jan Szilagyi, 2008, ``In search of distress risk"", Journal of Finance 63, 2899-2939.",http://www.jstor.org/stable/pdfplus/20487953.pdf,1_clear,done!,NA,NA
2008,NA,98,Shareholder advantage,Benefits from renegotiation upon default,Individual accounting,Review of Financial Studies,"Garlappi, Shu and Yan (2008)","Garlappi, Lorenzo, Tao Shu and Hong Yan, 2008, ``Default risk, shareholder advantage, and stock returns"", Review of Financial Studies 21, 2743-2778.",http://www.jstor.org/stable/pdfplus/40056898.pdf,1_clear,done!,NA,NA
NA,NA,99,Interaction between shareholder advantage and implied market value of assets,Implied market value of assets provided by Moody's KMV,Individual accounting,Review of Financial Studies,"Garlappi, Shu and Yan (2008)","Garlappi, Lorenzo, Tao Shu and Hong Yan, 2008, ``Default risk, shareholder advantage, and stock returns"", Review of Financial Studies 21, 2743-2778.",http://www.jstor.org/stable/pdfplus/40056898.pdf,1_clear,done!,NA,NA
2008,NA,100,Asset growth,Year-on-year percentage change in total assets,Individual accounting,Journal of Finance,"Cooper, Gulen and Schill (2008)","Cooper, Michael J., Huseying Gulen and Michael J. Schill, 2008,  ``Asset growth and the cross-section of stock returns"", Journal of Finance 63, 1609-1651.",http://www.jstor.org/stable/pdfplus/25094485.pdf,1_clear,done!,NA,NA
2008,NA,101,Share issuance,Annual share issuance based on adjusted shares,Individual accounting,Journal of Finance,Pontiff and Woodgate (2008),"Pontiff, Jeffrey and Arteiza Woodgate, 2008, ``Share issuance and cross-sectional returns"", Journal of Finance 63, 921-945.",http://www.jstor.org/stable/pdfplus/25094460.pdf,1_clear,done!,NA,NA
2008,NA,102,Firm economic links,Economic links proxied by return of a portfolio of its major customers,Individual financial,Journal of Finance,Cohen and Frazzini (2008),"Cohen, Lauren and Andrea Frazzini, 2008, Economic links and predictable returns, Journal of Finance 63, 1977-2011.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01379.x/full,1_clear,done!,NA,NA
2008,NA,103,Sin stock,"Stocks in the industry of adult services, alcohol, defense, gaming, medical and tobacco",Individual other,Financial Analyst Journal,"Frank, Ma and Oliphant (2008)","Fabozzi, Frank, K.C. Ma and Becky Oliphant, 2008, Sin stock returns, Financial Analysts Journal Fall, 82-94.",http://gyanresearch.wdfiles.com/local--files/alpha/JPM_FA_08_FABOZZI.pdf,1_clear,done!,NA,We cite Hong and Kacperczyk 2009
2008,NA,106,Investor recognition,Investor recognition proxied by the change in the breadth of institutional ownership,Individual other,Review of Accounting Studies,Lehavy and Sloan (2008),"Lehavy, Reuven and Richard Sloan, 2008, Investor recognition and stock returns, Review of Accounting Studies 13, 327-361.",http://link.springer.com/content/pdf/10.1007%2Fs11142-007-9063-y.pdf,1_clear,done!,NA,NA
2008,NA,107,DuPont analysis,Sales over net operating assets in DuPont analysis,Individual accounting,Accounting Review,Soliman (2008),"Soliman, Mark, 2008, The use of DuPont analysis by market participants, Accounting Review 83, 823-853.",http://faculty.haas.berkeley.edu/kli/papers/Soliman-2008TAR.pdf,1_clear,done!,NA,NA
2009,NA,110,Financial distress,Credit rating downgrades,Individual accounting,Journal of Financial Economics,"Avramov, Chordia, Jostova and Philipov (2009)","Avramov, Doron, Tarun Chordia, Gergana Jostova and Alexander Philipov, 2009, ``Dispersion in analysts' earnings forecasts and credit rating"", Journal of Financial Economics 91, 83-101.",http://www.sciencedirect.com/science/article/pii/S0304405X08001840#,1_clear,done!,NA,NA
